Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force
BR1 1RB,Yes,51.407636,0.014777,540228,169549,TQ402695,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,70,4,E01000675,,E02000144,"Bromley 018",E43000196,E00003254,E14000604,20532,1,1,2019-03-28,"Bromley North",0.171649,BR,BR1,"Metropolitan Police"
BR1 1RD,Yes,51.408226,0.017578,540421,169620,TQ404696,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,70,4,E01000676,,E02000134,"Bromley 008",E43000196,E00003250,E14000604,10169,1,1,2019-03-28,"Bromley North",0.0420671,BR,BR1,"Metropolitan Police"
BR1 1RE,Yes,51.407239,0.014296,540196,169504,TQ401695,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,,"Bromley, unparished area","",36,17,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,71,4,E01000676,,E02000134,"Bromley 008",E43000196,E00003255,E14000604,10169,1,0,2019-03-28,"Bromley North",0.222544,BR,BR1,"Metropolitan Police"
BR1 1RF,Yes,51.407342,0.014606,540217,169516,TQ402695,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,,"Bromley, unparished area","",37,19,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,71,4,E01000675,,E02000144,"Bromley 018",E43000196,E00003254,E14000604,20532,1,0,2019-03-28,"Bromley North",0.198296,BR,BR1,"Metropolitan Police"
BR1 1RG,Yes,51.407287,0.01831,540475,169517,TQ404695,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,70,4,E01000675,,E02000144,"Bromley 018",E43000196,E00003254,E14000604,20532,1,0,2019-03-28,"Bromley North",0.147197,BR,BR1,"Metropolitan Police"
BR1 1RH,Yes,51.406732,0.016589,540357,169452,TQ403694,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,,"Bromley, unparished area","",24,9,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,71,4,E01000675,,E02000144,"Bromley 018",E43000196,E00003254,E14000604,20532,1,0,2019-03-28,"Bromley North",0.17932,BR,BR1,"Metropolitan Police"
BR1 1RJ,Yes,51.407762,0.018391,540479,169570,TQ404695,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,70,4,E01000676,,E02000134,"Bromley 008",E43000196,E00003250,E14000604,10169,1,0,2019-03-28,"Bromley North",0.115421,BR,BR1,"Metropolitan Police"
BR1 1RL,Yes,51.406192,0.016079,540323,169391,TQ403693,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,,"Bromley, unparished area","",10,3,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,73,4,E01000676,,E02000134,"Bromley 008",E43000196,E00003255,E14000604,10169,1,0,2019-03-28,"Bromley North",0.245439,BR,BR1,"Metropolitan Police"
BR1 1RN,Yes,51.406083,0.015629,540292,169378,TQ402693,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,72,4,E01000676,,E02000134,"Bromley 008",E43000196,E00003255,E14000604,10169,1,1,2019-03-28,"Bromley North",0.266561,BR,BR1,"Metropolitan Police"
BR1 1RP,Yes,51.407088,0.018362,540479,169495,TQ404694,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",2005-01-01,,"Bromley, unparished area","",20,13,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,70,4,E01000675,,E02000144,"Bromley 018",E43000196,E00003254,E14000604,20532,1,0,2019-03-28,"Bromley North",0.167132,BR,BR1,"Metropolitan Police"
BR1 1RQ,No,51.407153,0.017229,540400,169500,TQ404695,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1993-08-01,1994-12-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,70,4,E01000675,,E02000144,"Bromley 018",E43000196,E00003254,E14000604,20532,8,1,2019-03-28,"Bromley North",0.131368,BR,BR1,"Metropolitan Police"
BR1 1RR,No,51.407276,0.010045,539900,169500,TQ399694,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1987-04-01,1997-06-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,68,4,E01000676,,E02000134,"Bromley 008",E43000196,E00003256,E14000604,10169,8,1,2019-03-28,"Bromley North",0.495499,BR,BR1,"Metropolitan Police"
BR1 1RS,No,51.408226,0.017578,540421,169620,TQ404696,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1991-01-01,2006-04-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,70,4,E01000676,,E02000134,"Bromley 008",E43000196,E00003250,E14000604,10169,1,1,2019-03-28,"Bromley North",0.0420671,BR,BR1,"Metropolitan Police"
BR1 1RT,No,51.40538,0.015713,540300,169300,TQ403692,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1983-07-01,1997-06-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,74,4,E01000676,,E02000134,"Bromley 008",E43000196,E00003255,E14000604,10169,8,1,2019-03-28,"Bromley North",0.339162,BR,BR1,"Metropolitan Police"
BR1 1RU,No,51.40588,0.015936,540314,169356,TQ403693,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,2005-09-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,73,4,E01000676,,E02000134,"Bromley 008",E43000196,E00003255,E14000604,10169,1,1,2019-03-28,"Bromley North",0.281493,BR,BR1,"Metropolitan Police"
BR1 1RW,Yes,51.406266,0.017017,540388,169401,TQ403694,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,,"Bromley, unparished area","",5,3,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,72,4,E01000676,,E02000134,"Bromley 008",E43000196,E00003255,E14000604,10169,1,0,2019-03-28,"Bromley North",0.228912,BR,BR1,"Metropolitan Police"
BR1 1RX,No,51.40538,0.015713,540300,169300,TQ403692,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1993-08-01,1995-12-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,74,4,E01000676,,E02000134,"Bromley 008",E43000196,E00003255,E14000604,10169,8,1,2019-03-28,"Bromley North",0.339162,BR,BR1,"Metropolitan Police"
BR1 1RY,Yes,51.405734,0.017094,540395,169342,TQ403693,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,,"Bromley, unparished area","",13,8,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,73,4,E01000676,,E02000134,"Bromley 008",E43000196,E00003255,E14000604,10169,1,0,2019-03-28,"Bromley North",0.288107,BR,BR1,"Metropolitan Police"
BR1 1RZ,No,51.404397,0.015368,540279,169190,TQ402691,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1993-01-01,1999-12-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,74,5,E01000676,,E02000134,"Bromley 008",E43000196,E00003255,E14000604,10169,6,1,2019-03-28,"Bromley North",0.450879,BR,BR1,"Metropolitan Police"
BR1 1SA,No,51.407202,0.014355,540200,169500,TQ401694,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1995-07-01,1997-07-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,71,4,E01000676,,E02000134,"Bromley 008",E43000196,E00003255,E14000604,10169,8,1,2019-03-28,"Bromley North",0.221414,BR,BR1,"Metropolitan Police"
BR1 1SB,Yes,51.407683,0.015164,540255,169555,TQ402695,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1999-06-01,,"Bromley, unparished area","",41,14,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,70,4,E01000675,,E02000144,"Bromley 018",E43000196,E00003254,E14000604,20532,1,0,2019-03-28,"Bromley North",0.1455,BR,BR1,"Metropolitan Police"
BR1 1SD,Yes,51.407972,0.015065,540247,169587,TQ402695,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,70,4,E01000675,,E02000144,"Bromley 018",E43000196,E00003254,E14000604,20532,1,0,2019-03-28,"Bromley North",0.13928,BR,BR1,"Metropolitan Police"
BR1 1SE,No,51.403604,0.015491,540290,169102,TQ402691,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,2018-02-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,72,5,E01000675,,E02000144,"Bromley 018",E43000196,E00003254,E14000604,20532,1,1,2019-03-28,"Bromley South",0.420768,BR,BR1,"Metropolitan Police"
BR1 1SG,No,51.407972,0.015065,540247,169587,TQ402695,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1988-03-01,2000-11-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,70,4,E01000675,,E02000144,"Bromley 018",E43000196,E00003254,E14000604,20532,1,1,2019-03-28,"Bromley North",0.13928,BR,BR1,"Metropolitan Police"
BR1 1SH,No,51.405512,0.01592,540314,169315,TQ403693,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",2001-06-01,2003-10-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,74,4,E01000676,,E02000134,"Bromley 008",E43000196,E00003255,E14000604,10169,1,1,2019-03-28,"Bromley North",0.321408,BR,BR1,"Metropolitan Police"
BR1 1SJ,No,51.407972,0.015065,540247,169587,TQ402695,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1988-03-01,2013-07-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,70,4,E01000675,,E02000144,"Bromley 018",E43000196,E00003254,E14000604,20532,1,1,2019-03-28,"Bromley North",0.13928,BR,BR1,"Metropolitan Police"
BR1 1SP,No,51.401811,0.014118,540200,168900,TQ401689,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,1982-12-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,56,5,E01000675,,E02000144,"Bromley 018",E43000196,E00003236,E14000604,20532,8,1,2019-03-28,"Bromley South",0.30156,BR,BR1,"Metropolitan Police"
BR1 1SR,No,51.407178,0.015792,540300,169500,TQ403695,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1988-03-01,1990-12-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,70,4,E01000675,,E02000144,"Bromley 018",E43000196,E00003254,E14000604,20532,8,1,2019-03-28,"Bromley North",0.15231,BR,BR1,"Metropolitan Police"
BR1 1SS,No,51.407972,0.015065,540247,169587,TQ402695,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",2002-06-01,2007-08-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,70,4,E01000675,,E02000144,"Bromley 018",E43000196,E00003254,E14000604,20532,1,1,2019-03-28,"Bromley North",0.13928,BR,BR1,"Metropolitan Police"
BR1 1ST,Yes,51.40732,0.015381,540271,169515,TQ402695,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",2005-04-01,,"Bromley, unparished area","",36,19,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,70,4,E01000675,,E02000144,"Bromley 018",E43000196,E00003254,E14000604,20532,1,0,2019-03-28,"Bromley North",0.158034,BR,BR1,"Metropolitan Police"
BR1 1SU,No,51.399939,0.018349,540500,168700,TQ405686,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,1990-12-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,53,5,E01000675,,E02000144,"Bromley 018",E43000196,E00003264,E14000604,20532,8,1,2019-03-28,"Bromley South",0.0689405,BR,BR1,"Metropolitan Police"
BR1 1SZ,No,51.399989,0.015476,540300,168700,TQ403687,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1983-03-01,1991-12-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,50,5,E01000675,,E02000144,"Bromley 018",E43000196,E00003264,E14000604,20532,8,1,2019-03-28,"Bromley South",0.129512,BR,BR1,"Metropolitan Police"
BR1 1TA,No,51.407153,0.017229,540400,169500,TQ404695,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,1990-12-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,70,4,E01000675,,E02000144,"Bromley 018",E43000196,E00003254,E14000604,20532,8,1,2019-03-28,"Bromley North",0.131368,BR,BR1,"Metropolitan Police"
BR1 1TB,No,51.403608,0.014197,540200,169100,TQ401691,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1981-06-01,1995-12-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018C","Urban major conurbation",London,67,5,E01000677,,E02000144,"Bromley 018",E43000196,E00003266,E14000604,19350,8,1,2019-03-28,"Bromley South",0.456824,BR,BR1,"Metropolitan Police"
BR1 1TD,No,51.402225,0.016164,540341,168950,TQ403689,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1990-02-01,2018-04-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,67,5,E01000675,,E02000144,"Bromley 018",E43000196,E00003264,E14000604,20532,1,1,2019-03-28,"Bromley South",0.260629,BR,BR1,"Metropolitan Police"
BR1 1TE,No,51.406304,0.014316,540200,169400,TQ402694,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1981-06-01,1997-08-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,71,4,E01000676,,E02000134,"Bromley 008",E43000196,E00003255,E14000604,10169,8,1,2019-03-28,"Bromley North",0.291382,BR,BR1,"Metropolitan Police"
BR1 1TF,Yes,51.400722,0.018829,540531,168788,TQ405687,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",2000-06-01,,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,56,5,E01000675,,E02000144,"Bromley 018",E43000196,E00003264,E14000604,20532,1,1,2019-03-28,"Bromley South",0.129579,BR,BR1,"Metropolitan Police"
BR1 1TG,No,51.407288,0.018284,540473,169517,TQ404695,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",2005-12-01,2017-08-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,70,4,E01000675,,E02000144,"Bromley 018",E43000196,E00003254,E14000604,20532,1,1,2019-03-28,"Bromley North",0.145998,BR,BR1,"Metropolitan Police"
BR1 1TH,No,51.405405,0.014276,540200,169300,TQ401692,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1988-03-01,1995-07-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018C","Urban major conurbation",London,73,4,E01000677,,E02000144,"Bromley 018",E43000196,E00003266,E14000604,19350,8,1,2019-03-28,"Bromley North",0.375247,BR,BR1,"Metropolitan Police"
BR1 1TJ,No,51.406279,0.015752,540300,169400,TQ402694,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1983-03-01,1992-12-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,72,4,E01000676,,E02000134,"Bromley 008",E43000196,E00003255,E14000604,10169,8,1,2019-03-28,"Bromley North",0.243174,BR,BR1,"Metropolitan Police"
BR1 1TL,No,51.407153,0.017229,540400,169500,TQ404695,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1990-02-01,1992-12-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,70,4,E01000675,,E02000144,"Bromley 018",E43000196,E00003254,E14000604,20532,8,1,2019-03-28,"Bromley North",0.131368,BR,BR1,"Metropolitan Police"
BR1 1TN,No,51.407153,0.017229,540400,169500,TQ404695,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1993-08-01,1994-05-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,70,4,E01000675,,E02000144,"Bromley 018",E43000196,E00003254,E14000604,20532,8,1,2019-03-28,"Bromley North",0.131368,BR,BR1,"Metropolitan Police"
BR1 1TP,Yes,51.406608,0.014415,540206,169434,TQ402694,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,71,4,E01000676,,E02000134,"Bromley 008",E43000196,E00003255,E14000604,10169,1,1,2019-03-28,"Bromley North",0.261468,BR,BR1,"Metropolitan Police"
BR1 1TQ,No,51.403583,0.015634,540300,169100,TQ403690,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1991-09-01,1994-05-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,72,5,E01000675,,E02000144,"Bromley 018",E43000196,E00003254,E14000604,20532,8,1,2019-03-28,"Bromley South",0.415588,BR,BR1,"Metropolitan Police"
BR1 1TR,Yes,51.402231,0.017397,540427,168953,TQ404689,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,67,5,E01000675,,E02000144,"Bromley 018",E43000196,E00003264,E14000604,20532,1,0,2019-03-28,"Bromley South",0.247779,BR,BR1,"Metropolitan Police"
BR1 1TS,Yes,51.402288,0.016667,540376,168958,TQ403689,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,,"Bromley, unparished area","",5,1,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,68,5,E01000675,,E02000144,"Bromley 018",E43000196,E00003264,E14000604,20532,1,0,2019-03-28,"Bromley South",0.258596,BR,BR1,"Metropolitan Police"
BR1 1TT,Yes,51.402084,0.017049,540403,168936,TQ404689,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,,"Bromley, unparished area","",46,23,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,66,5,E01000675,,E02000144,"Bromley 018",E43000196,E00003264,E14000604,20532,1,0,2019-03-28,"Bromley South",0.23243,BR,BR1,"Metropolitan Police"
BR1 1TU,No,51.401761,0.016991,540400,168900,TQ403688,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,1995-01-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,65,5,E01000675,,E02000144,"Bromley 018",E43000196,E00003264,E14000604,20532,8,1,2019-03-28,"Bromley South",0.197202,BR,BR1,"Metropolitan Police"
BR1 1TW,No,51.407288,0.018284,540473,169517,TQ404695,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1986-04-01,2008-06-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,70,4,E01000675,,E02000144,"Bromley 018",E43000196,E00003254,E14000604,20532,1,1,2019-03-28,"Bromley North",0.145998,BR,BR1,"Metropolitan Police"
BR1 1TX,No,51.404507,0.014237,540200,169200,TQ402692,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1991-09-01,1994-05-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018C","Urban major conurbation",London,71,4,E01000677,,E02000144,"Bromley 018",E43000196,E00003266,E14000604,19350,8,1,2019-03-28,"Bromley North",0.465372,BR,BR1,"Metropolitan Police"
BR1 1TY,No,51.405948,0.014099,540186,169360,TQ401693,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1992-01-01,2004-02-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,71,4,E01000676,,E02000134,"Bromley 008",E43000196,E00003255,E14000604,10169,1,1,2019-03-28,"Bromley North",0.331742,BR,BR1,"Metropolitan Police"
BR1 1UA,No,51.404397,0.015368,540279,169190,TQ402691,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1996-12-01,2000-06-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,74,5,E01000676,,E02000134,"Bromley 008",E43000196,E00003255,E14000604,10169,6,1,2019-03-28,"Bromley North",0.450879,BR,BR1,"Metropolitan Police"
BR1 1UB,No,51.408226,0.017578,540421,169620,TQ404696,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1996-12-01,2006-04-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,70,4,E01000676,,E02000134,"Bromley 008",E43000196,E00003250,E14000604,10169,1,1,2019-03-28,"Bromley North",0.0420671,BR,BR1,"Metropolitan Police"
BR1 1UD,No,51.408226,0.017578,540421,169620,TQ404696,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1996-12-01,2009-05-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,70,4,E01000676,,E02000134,"Bromley 008",E43000196,E00003250,E14000604,10169,1,1,2019-03-28,"Bromley North",0.0420671,BR,BR1,"Metropolitan Police"
BR1 1UE,Yes,51.408226,0.017578,540421,169620,TQ404696,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",2006-08-01,,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,70,4,E01000676,,E02000134,"Bromley 008",E43000196,E00003250,E14000604,10169,1,1,2019-03-28,"Bromley North",0.0420671,BR,BR1,"Metropolitan Police"
BR1 1UF,No,51.404579,0.014729,540234,169209,TQ402692,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1999-02-01,2000-09-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018C","Urban major conurbation",London,73,4,E01000677,,E02000144,"Bromley 018",E43000196,E00003266,E14000604,19350,8,1,2019-03-28,"Bromley North",0.444949,BR,BR1,"Metropolitan Police"
BR1 1UG,No,51.404579,0.014729,540234,169209,TQ402692,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1997-06-01,1998-06-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018C","Urban major conurbation",London,73,4,E01000677,,E02000144,"Bromley 018",E43000196,E00003266,E14000604,19350,6,1,2019-03-28,"Bromley North",0.444949,BR,BR1,"Metropolitan Police"
BR1 1UH,No,51.408226,0.017578,540421,169620,TQ404696,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1997-12-01,2009-04-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,70,4,E01000676,,E02000134,"Bromley 008",E43000196,E00003250,E14000604,10169,1,1,2019-03-28,"Bromley North",0.0420671,BR,BR1,"Metropolitan Police"
BR1 1WA,Yes,51.408226,0.017578,540421,169620,TQ404696,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1987-04-01,,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,70,4,E01000676,,E02000134,"Bromley 008",E43000196,E00003250,E14000604,10169,1,1,2019-03-28,"Bromley North",0.0420671,BR,BR1,"Metropolitan Police"
BR1 1WB,No,51.408226,0.017578,540421,169620,TQ404696,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1986-07-01,2007-07-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,70,4,E01000676,,E02000134,"Bromley 008",E43000196,E00003250,E14000604,10169,1,1,2019-03-28,"Bromley North",0.0420671,BR,BR1,"Metropolitan Police"
BR1 1WD,No,51.408226,0.017578,540421,169620,TQ404696,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1995-12-01,2006-04-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,70,4,E01000676,,E02000134,"Bromley 008",E43000196,E00003250,E14000604,10169,1,1,2019-03-28,"Bromley North",0.0420671,BR,BR1,"Metropolitan Police"
BR1 1WE,No,51.408226,0.017578,540421,169620,TQ404696,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",2001-12-01,2006-04-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,70,4,E01000676,,E02000134,"Bromley 008",E43000196,E00003250,E14000604,10169,1,1,2019-03-28,"Bromley North",0.0420671,BR,BR1,"Metropolitan Police"
BR1 1WF,No,51.408226,0.017578,540421,169620,TQ404696,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",2002-11-01,2010-03-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,70,4,E01000676,,E02000134,"Bromley 008",E43000196,E00003250,E14000604,10169,1,1,2019-03-28,"Bromley North",0.0420671,BR,BR1,"Metropolitan Police"
